id;domain_list
146312;Family Games
223770;Family Games
223770;Party Games
1822;Wargames
21523;Thematic Games
245476;Family Games
134352;Party Games
22825;Wargames
223750;Family Games
223750;Strategy Games
60;Strategy Games
194880;Family Games
122522;Family Games
122522;Strategy Games
35052;Wargames
85897;Strategy Games
85897;Thematic Games
45986;Strategy Games
97903;Family Games
233571;Customizable Games
233571;Wargames
16992;Abstract Games
16992;Family Games
91536;Strategy Games
55427;Strategy Games
338957;Strategy Games
338957;Wargames
1301;Customizable Games
299169;Party Games
306481;Strategy Games
1608;Wargames
18100;Strategy Games
222514;Thematic Games
261114;Family Games
221;Thematic Games
221;Wargames
228855;Thematic Games
230933;Strategy Games
300327;Strategy Games
359609;Customizable Games
181796;Strategy Games
145639;Children's Games
145639;Family Games
309630;Strategy Games
252526;Party Games
142326;Family Games
142326;Strategy Games
287084;Family Games
287084;Strategy Games
24068;Party Games
175199;Strategy Games
37628;Strategy Games
17329;Children's Games
89409;Strategy Games
229265;Strategy Games
176544;Strategy Games
276042;Family Games
551;Wargames
152162;Family Games
206051;Party Games
135382;Thematic Games
297129;Family Games
159473;Strategy Games
159473;Wargames
318983;Strategy Games
234669;Thematic Games
141423;Strategy Games
141423;Thematic Games
164265;Party Games
164265;Thematic Games
327;Children's Games
37836;Wargames
71671;Strategy Games
71671;Thematic Games
163642;Strategy Games
67492;Thematic Games
67492;Wargames
271529;Family Games
5737;Strategy Games
205597;Family Games
205597;Strategy Games
183571;Thematic Games
206931;Family Games
145371;Strategy Games
207336;Family Games
241590;Family Games
241590;Party Games
271869;Family Games
251412;Family Games
278;Strategy Games
273477;Family Games
183880;Thematic Games
216092;Thematic Games
1634;Thematic Games
244049;Strategy Games
156091;Thematic Games
129736;Party Games
94246;Strategy Games
94246;Wargames
91080;Wargames
104020;Strategy Games
95103;Thematic Games
44163;Strategy Games
833;Wargames
143884;Family Games
197070;Thematic Games
301767;Family Games
301767;Thematic Games
124;Strategy Games
293889;Family Games
68264;Wargames
232918;Thematic Games
346501;Family Games
346501;Strategy Games
173090;Family Games
154246;Family Games
154246;Strategy Games
305682;Family Games
128721;Strategy Games
295607;Family Games
221318;Strategy Games
27364;Strategy Games
184151;Customizable Games
354;Strategy Games
8989;Strategy Games
182694;Thematic Games
213266;Family Games
340041;Family Games
195162;Strategy Games
140933;Family Games
121410;Family Games
34084;Family Games
34084;Strategy Games
257518;Thematic Games
226520;Party Games
226520;Thematic Games
151007;Customizable Games
151007;Thematic Games
82168;Strategy Games
82168;Thematic Games
8045;Strategy Games
137297;Family Games
244536;Thematic Games
342848;Thematic Games
105;Family Games
105;Strategy Games
13823;Family Games
13823;Strategy Games
329845;Family Games
329845;Party Games
17396;Wargames
